Sr.No,Name of  University,Province,Sector,Male,Female,Grand Total
148,"The University of Agriculture, Peshawar",Khyber Pakhtunkhwa,Public,8025,632,8657
149,"The University of Faisalabad, Faisalabad",Punjab,Private,1421,2380,3801
150,"The University of Lahore, Lahore",Punjab,Private,19695,15358,35053
151,"The Women University, Multan",Punjab,Public,0,3168,3168
152,"University of Agriculture, Faisalabad",Punjab,Public,14689,11702,26391
153,"University of Azad Jammu & Kashmir, ",AJK,Public,4192,4434,8626
154,"University of Balochistan, Quetta",Balochistan,Public,7523,2433,9956
155,"University of Baltistan, Skardu",Gilgit-Baltistan,Public,326,245,571
156,"University of Central Punjab, Lahore",Punjab,Private,4370,3667,8037
157,"University of Education, Lahore",Punjab,Public,10146,11442,21588
158,"University of Engineering & Technology, ",Punjab,Public,10063,3043,13106
159,"University of Engineering & Technology, ",Khyber Pakhtunkhwa,Public,911,58,969
160,"University of Engineering & Technology, ",Khyber Pakhtunkhwa,Public,6286,364,6650
161,"University of Engineering & Technology, ",Punjab,Public,4540,924,5464
162,"University of Gujrat, Gujrat",Punjab,Public,7611,9475,17086
163,"University of Haripur, Haripur",Khyber Pakhtunkhwa,Public,2096,879,2975
164,"University of Health Sciences, Lahore",Punjab,Public,266,648,914
165,"University of Karachi, Karachi",Sindh,Public,17378,23927,41305
166,"University of Kotli, Azad Jammu & Kashmir",AJK,Public,1859,1559,3418
167,"University of Loralai, Loralai",Balochistan,Public,223,37,260
168,"University of Malakand, Chakdara",Khyber Pakhtunkhwa,Public,3496,1100,4596
169,"University of Management and Technology, Lahore.",Punjab,Private,10079,6712,16791
170,"University of Peshawar, Peshawar",Khyber Pakhtunkhwa,Public,6300,4364,10664
171,"University of Sargodha, Sargodha",Punjab,Public,12423,12705,25128
172,"University of Science & Technology, Bannu",Khyber Pakhtunkhwa,Public,2430,456,2886
173,"University of Sindh, Jamshoro",Sindh,Public,27314,10587,37901
174,"University of South Asia, Lahore",Punjab,Private,3134,850,3984
175,"University of Swabi, Swabi",Khyber Pakhtunkhwa,Public,1882,306,2188
176,"University of Swat, Swat",Khyber Pakhtunkhwa,Public,3179,465,3644
177,"University of The Poonch, Rawalakot",AJK,Public,2181,2520,4701
178,"University of the Punjab, Lahore",Punjab,Public,20802,23008,43810
179,"University of Turbat, Turbat",Balochistan,Public,1657,808,2465
180,"University of Veterinary & Animal Sciences, ",Punjab,Public,2968,2786,5754
181,"University of Wah, Wah Cantt",Punjab,Private,2089,1732,3821
182,"Virtual University of Pakistan, Lahore",Punjab,Public,32463,20624,53087
183,"Women University, Bagh",AJK,Public,0,2721,2721
184,"Women University, Mardan",Khyber Pakhtunkhwa,Public,0,326,326
185,"Women University, Swabi",Khyber Pakhtunkhwa,Public,0,1136,1136
186,"Ziauddin University, Karachi",Sindh,Private,1025,2147,3172
Grand Total,,,,881963,698905,1580868
,,,,,,
