,Subject,,Female Proportion (%),Male Proportion (%),,Year,Agriculture,Chemistry,Medicine,Engineering,Computer Science
196,HEAL,1990-2000,3.03,96.97,15,,,,,,
197,HEAL,2000-2010,6.72,93.28,45,,,,,,
198,HEAL,2010-2020,12.52,87.48,203,,,,,,
199,HEAL,2020-2030,,,0,,,,,,
200,PSYC,1950-1960,33.33,66.67,1,,,,,,
201,PSYC,1960-1970,0,100,5,,,,,,
202,PSYC,1970-1980,33.33,66.67,1,,,,,,
203,PSYC,1980-1990,0,100,2,,,,,,
204,PSYC,1990-2000,5.26,94.74,8,,,,,,
205,PSYC,2000-2010,15.38,84.62,17,,,,,,
206,PSYC,2010-2020,14.56,85.44,258,,,,,,
207,PSYC,2020-2030,,,0,,,,,,
208,undefined,1950-1960,0,100,1,,,,,,
209,undefined,1960-1970,6.67,93.33,14,,,,,,
210,undefined,1970-1980,17.65,82.35,6,,,,,,
211,undefined,1980-1990,8.99,91.01,28,,,,,,
212,undefined,1990-2000,24.18,75.82,24,,,,,,
213,undefined,2000-2010,,,0,,,,,,
214,undefined,2010-2020,28.57,71.43,2,,,,,,
215,undefined,2020-2030,,,0,,,,,,
216,NEUR,1950-1960,,,0,,,,,,
217,NEUR,1960-1970,,,0,,,,,,
218,NEUR,1970-1980,100,0,0,,,,,,
219,NEUR,1980-1990,0,100,1,,,,,,
220,NEUR,1990-2000,10,90,7,,,,,,
221,NEUR,2000-2010,13.68,86.32,30,,,,,,
222,NEUR,2010-2020,13.22,86.78,74,,,,,,
223,NEUR,2020-2030,,,0,,,,,,
